experiment,d,kappa,stable_spectrum,stable_min,stable_max,rotation_seed,rotation_id,start_id,trial,start_seed,run_seed,method,eta,hisd_sweep_eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,x0_mode,unstable_scale,stable_scale,x0_norm,y0_unstable_abs,y0_stable_norm,converged,iterations,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,123,0,4,4,100500,100500,DF-HiSD,0.05,0.05,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7950291037559509,0.5972332954406738,0.524770200252533,False,5000,350000,113341.9375,1,True,False,-9.999999046325684,0.20000015199184418
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,0,5,101100,101100,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.4368199408054352,0.30561375617980957,0.31210875511169434,True,1024,71680,9.123542986344546e-05,1,True,True,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,0,5,101100,101100,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.4368199408054352,0.30561375617980957,0.31210875511169434,True,940,65800,9.906499326461926e-05,1,True,True,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,0,5,101100,101100,DF-HiSD,0.1,0.1,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.4368199408054352,0.30561375617980957,0.31210875511169434,False,5000,350000,1424368.625,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,1,6,101200,101200,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.8250743746757507,0.7448041439056396,0.35498517751693726,False,5000,350000,1711.3145751953125,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,1,6,101200,101200,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.8250743746757507,0.7448041439056396,0.35498517751693726,False,5000,350000,1781.5262451171875,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,1,6,101200,101200,DF-HiSD,0.1,0.1,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.8250743746757507,0.7448041439056396,0.35498517751693726,False,5000,350000,513690.1875,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,2,7,101300,101300,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.3676286935806274,1.3074407577514648,0.4012563228607178,False,5000,350000,1702.2977294921875,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,2,7,101300,101300,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.3676286935806274,1.3074407577514648,0.4012563228607178,False,5000,350000,1782.8792724609375,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,2,7,101300,101300,DF-HiSD,0.1,0.1,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.3676286935806274,1.3074407577514648,0.4012563228607178,False,5000,350000,201195.515625,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,3,8,101400,101400,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.49378499388694763,0.2964794933795929,0.3948715627193451,True,873,61110,9.565943037159741e-05,1,True,True,-10.0,0.20000006258487701
