experiment,d,kappa,lambda2,theta_deg,index_k,method,trial,seed,run_seed,init_seed,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,rotation_scheme,hisd_eta_selected,hisd_pilot_n,hisd_pilot_success_count,hisd_eta_selection_rule,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-H,15,15142,15142,10057,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1754,0.0009986864170059562,122780,0.0009986864170059562,1,True,True,-2.0,0.022838642820715904
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-H,16,16142,16142,10058,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,1834,0.0009917301358655095,128380,0.0009917301358655095,0,False,True,0.0200932826846838,3.999715566635132
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-H,17,17142,17142,10059,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,876,0.0009934360859915614,61320,0.0009934360859915614,1,True,True,-2.0,0.024048298597335815
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-H,18,18142,18142,10060,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,1791,0.0009917101124301553,125370,0.0009917101124301553,0,False,True,0.020101189613342285,3.999798536300659
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-H,19,19142,19142,10061,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,2633,0.000998780713416636,184310,0.000998780713416636,1,True,True,-2.0,0.025574341416358948
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,0,142,142,10042,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1358,0.0009953801054507494,95060,0.0009953801054507494,1,True,True,-2.0,0.022849051281809807
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,1,1142,1142,10043,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1080,0.000999273150227964,75600,0.000999273150227964,1,True,True,-2.0,0.022119827568531036
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,2,2142,2142,10044,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1212,0.0009964004857465625,84840,0.0009964004857465625,1,True,True,-1.9999998807907104,0.022210974246263504
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,3,3142,3142,10045,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1241,0.0009962692856788635,86870,0.0009962692856788635,1,True,True,-2.0,0.02175241895020008
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,4,4142,4142,10046,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1086,0.0009950815001502633,76020,0.0009950815001502633,1,True,True,-2.0,0.021862797439098358
