experiment,d,kappa,lambda2,k,target_index,theta_deg,method,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,trial,seed,init_seed,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval,failure_reason
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,True,2437,0.0009931001113727689,170590,0.0009931001113727689,1,True,True,-2.0,0.024849116802215576,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,True,2948,0.000997384311631322,206360,0.000997384311631322,1,True,True,-2.0,0.02385307103395462,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,1026,0.000997379538603127,71820,0.000997379538603127,1,True,True,-2.0,0.025548428297042847,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,1121,0.000997636467218399,78470,0.000997636467218399,1,True,True,-2.0,0.024356858804821968,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,583,0.0009882106678560376,40810,0.0009882106678560376,1,True,True,-2.0,0.022675948217511177,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,929,0.0009946634527295828,65030,0.0009946634527295828,1,True,True,-2.0,0.02315369062125683,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,True,2075,0.0009962983895093203,145250,0.0009962983895093203,1,True,True,-2.0,0.025425687432289124,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,1181,0.0009992392733693123,82670,0.0009992392733693123,0,False,True,0.020004747435450554,4.000144958496094,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,True,1866,0.000999787007458508,130620,0.000999787007458508,1,True,True,-2.0,0.023799341171979904,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,2296,0.0009940707823261619,160720,0.0009940707823261619,0,False,True,0.020004095509648323,4.000415325164795,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,True,1360,0.0009996454464271665,95200,0.0009996454464271665,1,True,True,-2.0,0.023048244416713715,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,False,1652,0.0009989431127905846,115640,0.0009989431127905846,0,False,True,0.020035941153764725,3.9996373653411865,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,True,1381,0.0009849327616393566,96670,0.0009849327616393566,1,True,True,-2.0,0.02483193948864937,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.01,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,True,1780,0.0009985502110794187,124600,0.0009985502110794187,1,True,True,-2.0,0.023884303867816925,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,519,0.0009739649831317365,36330,0.0009739649831317365,1,True,True,-2.0,0.024800293147563934,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,534,0.0009945579804480076,37380,0.0009945579804480076,1,True,True,-2.0,0.024243539199233055,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,386,0.0009713925537653267,27020,0.0009713925537653267,1,True,True,-1.999999761581421,0.022241126745939255,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,441,0.0009954628767445683,30870,0.0009954628767445683,1,True,True,-2.0,0.023128308355808258,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,True,1126,0.000999034964479506,78820,0.000999034964479506,1,True,True,-2.0,0.025229832157492638,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,881,0.0009983025956898928,61670,0.0009983025956898928,0,False,True,0.02000051736831665,4.000632286071777,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,True,995,0.000998479314148426,69650,0.000998479314148426,1,True,True,-2.0,0.02319716475903988,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,1239,0.0009872439550235868,86730,0.0009872439550235868,0,False,True,0.020064381882548332,3.999732255935669,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,True,883,0.0009974202839657664,61810,0.0009974202839657664,1,True,True,-2.0,0.024106523022055626,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,False,1391,0.0009994014399126172,97370,0.0009994014399126172,0,False,True,0.020212216302752495,4.000162124633789,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,True,768,0.0009781090775504708,53760,0.0009781090775504708,1,True,True,-1.9999998807907104,0.023823712021112442,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.02,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,True,1070,0.0009961824398487806,74900,0.0009961824398487806,1,True,True,-2.0,0.02352692000567913,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,203,0.0009834921220317483,14210,0.0009834921220317483,1,True,True,-2.0,0.02273266389966011,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,185,0.0009935294510796666,12950,0.0009935294510796666,1,True,True,-2.0,0.02203514240682125,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,257,0.000994881964288652,17990,0.000994881964288652,1,True,True,-2.0,0.021867919713258743,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,152,0.0009492135141044855,10640,0.0009492135141044855,1,True,True,-2.0,0.023857273161411285,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,True,407,0.0009985922370105982,28490,0.0009985922370105982,1,True,True,-2.0,0.024069957435131073,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,2244,0.000998948235064745,157080,0.000998948235064745,0,False,True,0.02003185637295246,4.000129699707031,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,True,390,0.0009347919840365648,27300,0.0009347919840365648,1,True,True,-2.0,0.02252350002527237,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,True,2784,0.000997150898911059,194880,0.000997150898911059,1,True,True,-2.0,0.022452030330896378,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,False,667,0.0009818796534091234,46690,0.0009818796534091234,0,False,True,0.020150845870375633,3.9997291564941406,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,True,443,0.0009820656850934029,31010,0.0009820656850934029,1,True,True,-1.999999761581421,0.022192420437932014,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,True,313,0.0009732705075293779,21910,0.0009732705075293779,1,True,True,-2.0,0.02201729267835617,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.05,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,False,775,0.0009995591826736927,54250,0.0009995591826736927,0,False,True,0.020013531669974327,3.9999358654022217,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,190,0.000997072784230113,13300,0.000997072784230113,1,True,True,-2.0,0.025052715092897415,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,169,0.000997052644379437,11830,0.000997052644379437,1,True,True,-1.9999998807907104,0.023006023839116096,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,217,0.0009840303100645542,15190,0.0009840303100645542,1,True,True,-2.0,0.023112285882234573,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,123,0.0006941878818906844,8610,0.0006941878818906844,1,True,True,-1.999999761581421,0.020863991230726242,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,True,261,0.0009978327434509993,18270,0.0009978327434509993,1,True,True,-2.0,0.02246035821735859,
