experiment,d,kappa,lambda2,theta_deg,method,trial,seed,run_seed,init_seed,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,rotation_scheme,hisd_eta_selected,hisd_pilot_n,hisd_pilot_success_count,hisd_eta_selection_rule,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
rotated_quartic,10,10,0.2,30.0,DF-ADAM-H,15,15052,15052,100057,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1007,0.0009977422887459397,70490,0.0009977422887459397,1,True,True,-2.0,0.20007233321666718
rotated_quartic,10,10,0.2,30.0,DF-ADAM-H,16,16052,16052,100058,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,645,0.000988320796750486,45150,0.000988320796750486,1,True,True,-2.0,0.20006908476352692
rotated_quartic,10,10,0.2,30.0,DF-ADAM-H,17,17052,17052,100059,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,565,0.0009891703957691789,39550,0.0009891703957691789,1,True,True,-2.0,0.20004475116729736
rotated_quartic,10,10,0.2,30.0,DF-ADAM-H,18,18052,18052,100060,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,766,0.0009938162984326482,53620,0.0009938162984326482,1,True,True,-2.0,0.20007199048995972
rotated_quartic,10,10,0.2,30.0,DF-ADAM-H,19,19052,19052,100061,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1918,0.0009963576449081302,134260,0.0009963576449081302,1,True,True,-1.9999998807907104,0.2000652700662613
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,0,52,52,100042,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,964,0.0009952611289918423,67480,0.0009952611289918423,1,True,True,-2.0,0.20007148385047913
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,1,1052,1052,100043,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,682,0.0009942954638972878,47740,0.0009942954638972878,1,True,True,-1.9999998807907104,0.20004597306251526
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,2,2052,2052,100044,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1064,0.0009965300559997559,74480,0.0009965300559997559,1,True,True,-2.0,0.20007148385047913
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,3,3052,3052,100045,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1331,0.0009964457713067532,93170,0.0009964457713067532,1,True,True,-2.0,0.20006568729877472
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,4,4052,4052,100046,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,619,0.0009924527257680893,43330,0.0009924527257680893,1,True,True,-2.0,0.20006828010082245
