experiment,d,kappa,lambda1,lambda_plus,selection_rule,n_quick,candidates,eta,quick_seed,converged,iterations,true_grad_norm,func_evals,hessian_index
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,True,208,8.970111989328832e-05,14560,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,True,117,9.77863489848992e-05,8190,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,True,108,9.846995206563032e-05,7560,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,True,109,9.245701382045375e-05,7630,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,False,3000,0.02282893930216704,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,False,3000,0.02105473393186835,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,False,3000,0.02066190874523291,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,False,3000,0.0013039183209047345,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,1041,False,3000,0.001174290626771542,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,2040,False,3000,0.0010740962296147275,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,42,True,2196,9.929079579647842e-05,153720,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,1041,True,2156,9.963898214379752e-05,150920,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,2040,True,2093,9.964309041005601e-05,146510,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,42,True,900,9.454867804474061e-05,63000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,1041,True,866,9.962779778191632e-05,60620,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,True,818,9.898684406020974e-05,57260,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,True,461,9.368823568886479e-05,32270,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,True,430,9.65656968471531e-05,30100,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,True,432,9.8139146318767e-05,30240,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,False,3000,0.014220123915148849,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,False,3000,0.016905332787065745,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,False,3000,0.017172832448033592,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,False,3000,0.0033035822690634597,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,1041,False,3000,0.004162938031317343,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,2040,False,3000,0.004013389736177982,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,42,False,3000,0.00017942130708138062,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,1041,False,3000,0.00022947979484219785,210000,1
