experiment,kappa,theta_deg,n_samples,sigma,coordinate,E_gtilde2,E_g2,measured_delta,theory_delta
pollution_conservation,100.0,5.0,10000,0.0,2,0.9345689415931702,0.010000295005738735,0.9245686531066895,0.9245508909225464
pollution_conservation,100.0,5.0,10000,0.1,2,0.9444113373756409,0.01973048783838749,0.9246808290481567,0.9245508909225464
pollution_conservation,100.0,5.0,10000,0.5,2,1.1812535524368286,0.25855761766433716,0.9226959347724915,0.9245508909225464
pollution_conservation,100.0,5.0,10000,1.0,2,1.956661581993103,1.01675546169281,0.939906120300293,0.9245508909225464
pollution_conservation,100.0,5.0,10000,2.0,2,4.949118137359619,4.0399169921875,0.9092011451721191,0.9245508909225464
pollution_conservation,100.0,5.0,10000,5.0,2,26.731359481811523,25.89173698425293,0.8396224975585938,0.9245508909225464
pollution_conservation,100.0,5.0,10000,10.0,2,101.01860809326172,99.78384399414062,1.2347640991210938,0.9245508909225464
